                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83397,                 2.7642,                0.97671,                0.89248,                0.17115,                0.20609,                0.17528,                0.59955,                0.79351,                0.90452,               0.003327,               0.003327,               0.003327
                      2,                0.72495,                0.97173,                0.92761,                0.85096,                0.38712,                0.42966,                0.36787,                0.56248,                0.56111,                0.88881,              0.0066273,              0.0066273,              0.0066273
                      3,                0.71448,                0.81174,                 0.9244,                 0.8263,                 0.4837,                 0.5365,                0.46107,                0.56946,                0.51515,                0.88529,              0.0098947,              0.0098947,              0.0098947
                      4,                0.66463,                0.71316,                 0.9115,                0.85174,                0.56502,                0.61271,                 0.5312,                0.49603,                0.43798,                0.86959,              0.0098515,              0.0098515,              0.0098515
                      5,                0.61591,                0.63017,                0.89895,                0.85368,                0.60648,                0.68427,                 0.5832,                 0.5241,                0.37805,                0.87171,               0.009802,               0.009802,               0.009802
                      6,                0.59041,                0.57466,                0.89197,                0.89185,                 0.6478,                0.74519,                0.65205,                0.45266,                0.33191,                0.85591,              0.0097525,              0.0097525,              0.0097525
                      7,                0.57457,                 0.5419,                0.88984,                0.85178,                0.70455,                0.76865,                0.67529,                0.43692,                0.30619,                0.85029,               0.009703,               0.009703,               0.009703
                      8,                0.55936,                0.51055,                 0.8859,                0.86301,                0.69807,                0.79377,                0.68976,                0.45343,                0.30081,                0.85623,              0.0096535,              0.0096535,              0.0096535
                      9,                0.55069,                0.49435,                0.88426,                0.76199,                0.78798,                0.85188,                 0.7413,                0.44594,                0.28591,                 0.8533,               0.009604,               0.009604,               0.009604
                     10,                0.54198,                0.47022,                0.88129,                0.83274,                0.80993,                0.85481,                0.74908,                0.44624,                0.28394,                 0.8516,              0.0095545,              0.0095545,              0.0095545
                     11,                0.53316,                0.45493,                0.87871,                0.83646,                0.80701,                0.84892,                0.74623,                0.43276,                0.26958,                0.84753,               0.009505,               0.009505,               0.009505
                     12,                0.53179,                0.44315,                0.87803,                0.85045,                0.79347,                0.86379,                0.75382,                0.43433,                 0.2844,                0.84985,              0.0094555,              0.0094555,              0.0094555
                     13,                0.52434,                0.42926,                0.87587,                0.82403,                 0.8286,                0.87385,                 0.7616,                0.43038,                0.25565,                0.84681,               0.009406,               0.009406,               0.009406
                     14,                0.52371,                0.41676,                0.87524,                0.87817,                0.79174,                0.89409,                0.77909,                0.42727,                0.25384,                0.84711,              0.0093565,              0.0093565,              0.0093565
                     15,                0.51897,                0.40686,                0.87633,                0.81784,                0.82931,                0.87353,                0.76133,                0.43111,                0.25063,                 0.8477,               0.009307,               0.009307,               0.009307
                     16,                0.51595,                0.39889,                 0.8742,                0.82949,                0.86895,                0.90908,                0.78835,                0.42746,                 0.2485,                0.84519,              0.0092575,              0.0092575,              0.0092575
                     17,                0.51161,                0.38883,                0.87462,                0.83231,                0.80545,                0.87176,                0.76425,                0.41314,                0.24798,                0.84203,               0.009208,               0.009208,               0.009208
                     18,                0.50718,                0.38339,                0.87191,                0.78447,                0.86314,                0.88594,                0.77328,                 0.4113,                0.23761,                0.84122,              0.0091585,              0.0091585,              0.0091585
                     19,                0.50761,                0.37814,                0.87222,                0.83721,                0.84605,                0.91045,                0.80092,                0.41788,                0.24041,                0.84405,               0.009109,               0.009109,               0.009109
                     20,                0.50441,                0.37253,                0.87187,                0.85913,                0.86531,                0.92918,                0.81317,                0.41038,                0.23624,                0.84171,              0.0090595,              0.0090595,              0.0090595
                     21,                0.50125,                0.36406,                0.87051,                  0.861,                0.87233,                0.92617,                0.81336,                0.41643,                0.23036,                0.84063,                0.00901,                0.00901,                0.00901
                     22,                0.49975,                0.36299,                0.86991,                0.91499,                0.84164,                0.93168,                0.80999,                0.41272,                0.23066,                0.83921,              0.0089605,              0.0089605,              0.0089605
                     23,                0.49846,                0.35678,                0.87008,                0.89614,                0.84069,                 0.9189,                0.80654,                 0.4063,                0.22576,                0.83815,               0.008911,               0.008911,               0.008911
                     24,                0.49631,                0.35769,                0.86936,                 0.8845,                0.86854,                0.93145,                0.81589,                0.40865,                 0.2238,                0.83818,              0.0088615,              0.0088615,              0.0088615
                     25,                0.49424,                0.35028,                0.86869,                0.88965,                0.86026,                0.94645,                0.83688,                0.40125,                 0.2193,                0.83576,               0.008812,               0.008812,               0.008812
                     26,                0.49274,                 0.3459,                0.86777,                0.85005,                 0.9168,                0.93584,                0.81929,                0.41158,                0.22373,                0.83835,              0.0087625,              0.0087625,              0.0087625
                     27,                0.48898,                0.34143,                0.86537,                0.90618,                0.89245,                0.93414,                0.81737,                0.39986,                 0.2145,                0.83602,               0.008713,               0.008713,               0.008713
